HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Doctors Polyclinic,Multan,Gulgasht Colony,"Doctors Polyclinic, Near Ladies Park, Gulgasht Colony, Multan",3,3007311733
Dr. Muhammad Zubair Mohsin (Gynecologist) Hospital,Multan,Gulgasht Colony,"Dr. Muhammad Zubair Mohsin (Gynecologist) Hospital, 63-A Block, Near Gloria Jeans, Makhdoom Javed Hashmi Rd, Gulgasht Colony, Multan",1,612030282
Masood Chest Clinic,Multan,Gulgasht Colony,"Masood Chest Clinic, Bata Chowk, Gulgasht Colony, Multan",-,9.23337E+11
My Aesthetics (Multan) Hospital,Multan,Gulgasht Colony,"My Aesthetics (Multan) Hospital, 87-A Sheikh Abdul Hameed Rd, A Block, Gulgasht Colony, Multan",1,3104157979
Prime Dental Care Clinic,Multan,Gulgasht Colony,"Prime Dental Care Clinic, Near Chungi No. 6 Bus Stop, Gulgasht Colony, Multan",1,3336262052
Dr Munir Rauf Clinic,Multan,Gulistan Colony,"Dr Munir Rauf Clinic, Gulistan Colony Road Near Graveyard, Gulistan Colony, Multan",2,3006323003
Bakhtawar Amin Medical College And Hospital,Multan,Gulistan Housing Scheme,"Bakhtawar Amin Medical College And Hospital, Northern Bypass Near Dehhr Chowk, Gulistan Housing Scheme, Multan",21,616741002
Royal Healthcare Hospital,Multan,Gulshan Market,"Royal Healthcare Hospital, Gulshan Market New Multan Colony, Gulshan Market, Multan",2,3111222398
Al Ain Clinic,Multan,Gulshan Market,"Al Ain Clinic, Shop # 1, Al Noor Center, Gulshan Market, Multan",1,3017526894
Suraya Medical Center,Multan,Gulzaib Colony,"Suraya Medical Center, Opposite Mumtaz Abad Park Vehari Road, Gulzaib Colony, Multan",-,(061) 6525800
Saeed Chest Care Clinic,Multan,Hafiz Jamal Road,"Saeed Chest Care Clinic, Near Metro Station, Hafiz Jamal Road, Multan",1,3317033464
Elaaj Clinic,Multan,Hafiz Jamal Road,"Elaaj Clinic, 5Fwj+X33, Hafiz Jamal Rd, Inner City, Multan, Hafiz Jamal Road, Multan",-,3051509492
Royal Rehabilitation Center,Multan,Income Tax Colony,"Royal Rehabilitation Center, House No. 3 Income Tax Officer Street Opposite Of Mashaallah Electronics Near Attock Pump, Income Tax Colony, Multan",-,3226859389
Dental Icons Hospital,Multan,Iqbal Town,"Dental Icons Hospital, Qasim Road, Near Albaraka Bank, Lal Kurti, Iqbal Town, Multan",2,3334380009
A&M Aesthetics And Laser Clinic,Multan,Jail Rd,"A&M Aesthetics And Laser Clinic, Multi Care Complex Multan Opposite Nishter Medical University Gate Num 5, Distt, Jail Rd, Multan",2,3000516155
Dr. Makkis Diabetes Center,Multan,Jail Road,"Dr. Makkis Diabetes Center, Opposite Nishtar Hospital, Gate No 5, Multicare Complex, Jail Road, Multan",1,614580553
